Execute poe command line: poe  /glade2/scratch2/kpaul/yellowstone/ReshaperBenchmark/sbin/gendata.py -o input -p lndse1p0deg. -d 1,15,48600 -v 290,0,2 -v 5,1,2 -v 5,0,1,2 -n 120
Creating time-slice files in output directory: input
MPI Environment Size: 40

[1/40]: Creating file: input/lndse1p0deg.1.nc
[2/40]: Creating file: input/lndse1p0deg.2.nc
[3/40]: Creating file: input/lndse1p0deg.3.nc
[4/40]: Creating file: input/lndse1p0deg.4.nc
[5/40]: Creating file: input/lndse1p0deg.5.nc
[6/40]: Creating file: input/lndse1p0deg.6.nc
[7/40]: Creating file: input/lndse1p0deg.7.nc
[8/40]: Creating file: input/lndse1p0deg.8.nc
[9/40]: Creating file: input/lndse1p0deg.9.nc
[10/40]: Creating file: input/lndse1p0deg.10.nc
[11/40]: Creating file: input/lndse1p0deg.11.nc
[12/40]: Creating file: input/lndse1p0deg.12.nc
[13/40]: Creating file: input/lndse1p0deg.13.nc
[14/40]: Creating file: input/lndse1p0deg.14.nc
[15/40]: Creating file: input/lndse1p0deg.15.nc
[0/40]: Creating file: input/lndse1p0deg.0.nc
[33/40]: Creating file: input/lndse1p0deg.33.nc
[34/40]: Creating file: input/lndse1p0deg.34.nc
[32/40]: Creating file: input/lndse1p0deg.32.nc
[35/40]: Creating file: input/lndse1p0deg.35.nc
[36/40]: Creating file: input/lndse1p0deg.36.nc
[37/40]: Creating file: input/lndse1p0deg.37.nc
[38/40]: Creating file: input/lndse1p0deg.38.nc
[39/40]: Creating file: input/lndse1p0deg.39.nc
[29/40]: Creating file: input/lndse1p0deg.29.nc
[24/40]: Creating file: input/lndse1p0deg.24.nc
[30/40]: Creating file: input/lndse1p0deg.30.nc
[19/40]: Creating file: input/lndse1p0deg.19.nc
[28/40]: Creating file: input/lndse1p0deg.28.nc
[25/40]: Creating file: input/lndse1p0deg.25.nc
[21/40]: Creating file: input/lndse1p0deg.21.nc
[27/40]: Creating file: input/lndse1p0deg.27.nc
[31/40]: Creating file: input/lndse1p0deg.31.nc
[16/40]: Creating file: input/lndse1p0deg.16.nc
[26/40]: Creating file: input/lndse1p0deg.26.nc
[23/40]: Creating file: input/lndse1p0deg.23.nc
[20/40]: Creating file: input/lndse1p0deg.20.nc
[18/40]: Creating file: input/lndse1p0deg.18.nc
[17/40]: Creating file: input/lndse1p0deg.17.nc
[22/40]: Creating file: input/lndse1p0deg.22.nc
[39/40]: Creating file: input/lndse1p0deg.79.nc
[1/40]: Creating file: input/lndse1p0deg.41.nc
[3/40]: Creating file: input/lndse1p0deg.43.nc
[6/40]: Creating file: input/lndse1p0deg.46.nc
[5/40]: Creating file: input/lndse1p0deg.45.nc
[35/40]: Creating file: input/lndse1p0deg.75.nc
[38/40]: Creating file: input/lndse1p0deg.78.nc
[37/40]: Creating file: input/lndse1p0deg.77.nc
[34/40]: Creating file: input/lndse1p0deg.74.nc
[4/40]: Creating file: input/lndse1p0deg.44.nc
[13/40]: Creating file: input/lndse1p0deg.53.nc
[8/40]: Creating file: input/lndse1p0deg.48.nc
[7/40]: Creating file: input/lndse1p0deg.47.nc
[12/40]: Creating file: input/lndse1p0deg.52.nc
[14/40]: Creating file: input/lndse1p0deg.54.nc
[2/40]: Creating file: input/lndse1p0deg.42.nc
[10/40]: Creating file: input/lndse1p0deg.50.nc
[9/40]: Creating file: input/lndse1p0deg.49.nc
[11/40]: Creating file: input/lndse1p0deg.51.nc
[33/40]: Creating file: input/lndse1p0deg.73.nc
[36/40]: Creating file: input/lndse1p0deg.76.nc
[15/40]: Creating file: input/lndse1p0deg.55.nc
[32/40]: Creating file: input/lndse1p0deg.72.nc
[0/40]: Creating file: input/lndse1p0deg.40.nc
[6/40]: Creating file: input/lndse1p0deg.86.nc
[35/40]: Creating file: input/lndse1p0deg.115.nc
[38/40]: Creating file: input/lndse1p0deg.118.nc
[39/40]: Creating file: input/lndse1p0deg.119.nc
[10/40]: Creating file: input/lndse1p0deg.90.nc
[11/40]: Creating file: input/lndse1p0deg.91.nc
[5/40]: Creating file: input/lndse1p0deg.85.nc
[12/40]: Creating file: input/lndse1p0deg.92.nc
[33/40]: Creating file: input/lndse1p0deg.113.nc
[36/40]: Creating file: input/lndse1p0deg.116.nc
[34/40]: Creating file: input/lndse1p0deg.114.nc
[37/40]: Creating file: input/lndse1p0deg.117.nc
[13/40]: Creating file: input/lndse1p0deg.93.nc
[2/40]: Creating file: input/lndse1p0deg.82.nc
[7/40]: Creating file: input/lndse1p0deg.87.nc
[1/40]: Creating file: input/lndse1p0deg.81.nc
[29/40]: Creating file: input/lndse1p0deg.69.nc
[31/40]: Creating file: input/lndse1p0deg.71.nc
[4/40]: Creating file: input/lndse1p0deg.84.nc
[15/40]: Creating file: input/lndse1p0deg.95.nc
[22/40]: Creating file: input/lndse1p0deg.62.nc
[3/40]: Creating file: input/lndse1p0deg.83.nc
[14/40]: Creating file: input/lndse1p0deg.94.nc
[8/40]: Creating file: input/lndse1p0deg.88.nc
